Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0276.hjs,74.369,18.7225,129.75,11.225,12.99,1.867133208
modelo_n_0277.hjs,56.153,10.0325,206.55,49.025,24.35,9.117398356
modelo_n_0278.hjs,20.117,27.7425,165.15,29.175,28.41,3.709266869
modelo_n_0279.hjs,137.927,28.9525,17.85,37.925,29.63,1.561259542
modelo_n_0280.hjs,63.677,14.5975,184.95,28.925,11.51,4.916965187
modelo_n_0281.hjs,128.621,30.3275,178.35,33.775,15.01,2.280035744
modelo_n_0282.hjs,128.225,27.1375,252.75,4.525,20.09,0.936238129
modelo_n_0283.hjs,130.601,35.4975,87.75,48.275,29.23,2.063163121
modelo_n_0284.hjs,158.717,7.3375,152.25,5.925,12.13,1.929603862
modelo_n_0285.hjs,169.805,19.4375,4.35,23.675,28.43,1.293991911
modelo_n_0286.hjs,53.579,55.5725,232.95,15.525,22.47,2.071207374
modelo_n_0287.hjs,174.953,35.7175,123.75,30.025,25.33,1.25023258
modelo_n_0288.hjs,194.159,57.2775,32.25,37.425,17.09,0.714812504
modelo_n_0289.hjs,191.981,28.8425,286.05,1.275,11.71,0.934228768
modelo_n_0290.hjs,55.955,11.4075,10.95,31.425,25.03,3.303575638
modelo_n_0291.hjs,5.861,14.0475,89.25,37.075,27.67,8.581368262
modelo_n_0292.hjs,16.949,6.5675,211.65,41.925,29.83,14.53984499
modelo_n_0293.hjs,154.361,17.0725,70.65,12.775,19.71,1.107476575
modelo_n_0294.hjs,31.403,59.5875,276.45,35.775,13.31,8.351815871
modelo_n_0295.hjs,92.981,23.8925,1.05,21.075,17.43,0.908060896
modelo_n_0296.hjs,14.375,43.8025,235.05,31.575,12.35,11.29304255
modelo_n_0297.hjs,117.533,54.9125,299.85,8.725,24.73,1.140024057
modelo_n_0298.hjs,162.875,16.9075,21.15,38.725,27.63,2.827358283
modelo_n_0299.hjs,67.637,50.8425,133.95,5.075,20.29,0.963050935
modelo_n_0300.hjs,163.073,15.4225,134.55,40.175,11.31,4.314903551
modelo_n_0301.hjs,199.703,41.7675,127.65,40.225,28.01,1.370166585
modelo_n_0302.hjs,102.287,21.4725,67.95,1.375,14.65,0.414382854
modelo_n_0303.hjs,134.165,39.4575,291.75,46.925,14.71,2.969091926
modelo_n_0304.hjs,122.087,32.1425,48.15,0.825,20.15,0.172629216
modelo_n_0305.hjs,33.581,56.2325,144.15,8.075,17.17,2.764903997
modelo_n_0306.hjs,112.187,38.6325,149.85,26.075,12.39,1.697571156
modelo_n_0307.hjs,62.885,56.4525,163.05,13.225,23.23,1.21798157
modelo_n_0308.hjs,116.741,14.7075,110.25,37.375,29.13,3.612449045
modelo_n_0309.hjs,100.307,24.9925,128.25,43.425,12.65,3.44320986
modelo_n_0310.hjs,131.393,25.4875,215.55,42.175,25.05,2.923489126
modelo_n_0311.hjs,198.713,32.6375,289.05,38.475,19.31,2.252534134
modelo_n_0312.hjs,75.557,57.9925,30.45,23.575,16.83,0.596084987
modelo_n_0313.hjs,101.495,9.7025,79.95,31.125,20.63,4.363323938
modelo_n_0314.hjs,133.967,15.3125,52.35,3.325,24.51,0.410688594
modelo_n_0315.hjs,49.025,37.6425,33.45,21.975,19.29,0.98716888
modelo_n_0316.hjs,37.343,56.0125,96.75,19.275,23.67,1.261210033
modelo_n_0317.hjs,172.775,24.7725,70.05,7.125,18.65,0.538804482
modelo_n_0318.hjs,115.949,42.4825,283.05,6.575,28.39,0.79783711
modelo_n_0319.hjs,108.425,28.8975,87.15,23.075,13.03,1.533231252
modelo_n_0320.hjs,40.115,12.7275,241.65,45.375,12.15,10.08724846
modelo_n_0321.hjs,125.651,38.3575,281.55,18.025,15.51,1.663807524
modelo_n_0322.hjs,193.367,25.5425,260.85,35.425,10.31,3.061582876
modelo_n_0323.hjs,15.761,7.1175,254.55,42.725,29.65,15.49849905
modelo_n_0324.hjs,117.929,58.8725,141.75,47.175,23.31,1.380220665
modelo_n_0325.hjs,99.911,17.1275,121.95,46.875,16.85,4.765535319
modelo_n_0326.hjs,9.623,5.2475,122.25,25.725,19.63,16.48217605
modelo_n_0327.hjs,177.725,59.6425,51.45,2.025,29.41,0.119479699
modelo_n_0328.hjs,187.625,16.5225,29.55,27.525,10.69,2.109931905
modelo_n_0329.hjs,69.221,45.2325,72.15,29.475,17.93,1.245974416
modelo_n_0330.hjs,175.151,37.0375,85.95,20.475,25.75,0.791304011
modelo_n_0331.hjs,68.033,20.3725,77.25,37.775,18.09,3.098531459
modelo_n_0332.hjs,32.195,24.8275,200.55,36.725,11.47,6.400864446
modelo_n_0333.hjs,40.907,56.1225,102.75,2.775,17.51,1.547512263
modelo_n_0334.hjs,41.699,40.5025,69.75,42.075,22.17,2.037924455
modelo_n_0335.hjs,23.285,51.7775,271.35,0.975,23.43,5.129200596
modelo_n_0336.hjs,169.607,13.6075,190.05,23.775,29.99,2.492646272
modelo_n_0337.hjs,92.585,7.5025,131.85,16.475,25.15,3.212909665
modelo_n_0338.hjs,130.205,49.0275,191.25,31.675,24.37,1.242445165
modelo_n_0339.hjs,107.831,40.1725,284.25,46.225,22.45,2.634961071
modelo_n_0340.hjs,159.509,42.9225,85.35,34.375,12.61,1.331355128
